Date,Price
2026/07/19,"1,634.80"
2026/07/12,"1,612.50"
2026/07/05,"1,629.00"
2026/06/28,"1,628.10"
2026/06/21,"1,647.30"
2026/06/14,"1,707.30"
2026/06/07,"1,712.20"
2026/05/31,"1,797.90"
2026/05/24,"1,929.50"
2026/05/17,"1,939.70"
2026/05/10,"1,991.80"
2026/05/03,"2,059.30"
2026/04/26,"2,006.60"
2026/04/19,"2,024.60"
2026/04/12,"2,135.50"
2026/04/05,"2,059.10"
2026/03/29,"1,976.50"
2026/03/22,"1,880.60"
2026/03/15,"1,993.80"
2026/03/08,"2,065.00"
2026/03/01,"2,167.80"
2026/02/22,"2,365.60"
2026/02/15,"2,169.70"
2026/02/08,"2,071.20"
2026/02/01,"2,092.60"
2026/01/25,"2,114.80"
2026/01/18,"2,734.80"
2026/01/11,"2,318.30"
2026/01/04,"2,292.70"
2025/12/28,"2,137.00"
2025/12/21,"2,491.10"
2025/12/14,"2,054.80"
2025/12/07,"1,787.30"
2025/11/30,"1,660.50"
2025/11/23,"1,685.00"
2025/11/16,"1,524.20"
2025/11/09,"1,565.20"
2025/11/02,"1,549.10"
2025/10/26,"1,575.40"
2025/10/19,"1,599.10"
2025/10/12,"1,613.40"
2025/10/05,"1,617.10"
2025/09/28,"1,642.10"
2025/09/21,"1,598.80"
2025/09/14,"1,431.80"
2025/09/07,"1,427.60"
2025/08/31,"1,399.90"
2025/08/24,"1,370.50"
2025/08/17,"1,356.50"
2025/08/10,"1,338.70"
2025/08/03,"1,332.80"
2025/07/27,"1,316.90"
2025/07/20,"1,416.80"
2025/07/13,"1,450.80"
2025/07/06,"1,464.10"
2025/06/29,"1,382.10"
2025/06/22,"1,351.90"
2025/06/15,"1,269.60"
2025/06/08,"1,220.30"
2025/06/01,"1,170.80"
2025/05/25,"1,054.90"
2025/05/18,"1,088.70"
2025/05/11,990.8
2025/05/04,999.3
2025/04/27,966.1
2025/04/20,969.8
2025/04/13,973.1
2025/04/06,941.2
2025/03/30,914.6
2025/03/23,996.1
2025/03/16,991.6
2025/03/09,"1,024.70"
2025/03/02,966.5
2025/02/23,937.9
2025/02/16,981.8
2025/02/09,"1,013.60"
2025/02/02,"1,015.50"
2025/01/26,"1,043.70"
2025/01/19,966.2
2025/01/12,959.7
2025/01/05,990.4
2024/12/29,948.3
2024/12/22,930.5
2024/12/15,941.3
2024/12/08,937.8
2024/12/01,944.4
2024/11/24,963.8
2024/11/17,983.9
2024/11/10,954
2024/11/03,987.3
2024/10/27,"1,012.00"
2024/10/20,"1,036.70"
2024/10/13,"1,024.50"
2024/10/06,994.4
2024/09/29,"1,001.70"
2024/09/22,"1,022.00"
2024/09/15,992
2024/09/08,"1,016.40"
2024/09/01,929.1
2024/08/25,942.6
2024/08/18,976.4
2024/08/11,972.2
