"Date","Price","Open","High","Low","Vol.","Change %"
"2026/07/19","1,634.80","1,604.00","1,680.70","1,583.80","36.03K","1.38%"
"2026/07/12","1,612.50","1,630.00","1,701.70","1,565.60","75.92K","-1.01%"
"2026/07/05","1,629.00","1,634.10","1,675.10","1,572.90","63.90K","0.06%"
"2026/06/28","1,628.10","1,632.80","1,649.00","1,539.60","53.60K","-1.17%"
"2026/06/21","1,647.30","1,701.90","1,707.10","1,547.70","95.94K","-3.51%"
"2026/06/14","1,707.30","1,730.60","1,826.00","1,688.20","69.19K","-0.29%"
"2026/06/07","1,712.20","1,797.90","1,798.50","1,641.30","100.96K","-4.77%"
"2026/05/31","1,797.90","1,929.00","1,988.20","1,770.50","89.45K","-6.82%"
"2026/05/24","1,929.50","1,940.00","1,984.50","1,870.00","61.32K","-0.53%"
"2026/05/17","1,939.70","1,980.10","2,002.90","1,910.80","65.35K","-2.62%"
"2026/05/10","1,991.80","2,059.40","2,217.50","1,974.40","84.28K","-3.28%"
"2026/05/03","2,059.30","2,012.00","2,113.60","1,940.00","58.40K","2.63%"
"2026/04/26","2,006.60","1,996.20","2,020.00","1,877.30","0.77K","-0.89%"
"2026/04/19","2,024.60","2,099.80","2,100.00","1,970.80","0.13K","-5.19%"
"2026/04/12","2,135.50","2,043.70","2,158.20","2,033.80","0.14K","3.71%"
"2026/04/05","2,059.10","1,974.50","2,119.50","1,910.00","0.08K","4.18%"
"2026/03/29","1,976.50","1,909.00","2,000.00","1,883.00","0.05K","5.10%"
"2026/03/22","1,880.60","1,940.20","2,012.30","1,725.10","59.51K","-5.68%"
"2026/03/15","1,993.80","2,050.00","2,188.80","1,881.80","33.49K","-3.45%"
"2026/03/08","2,065.00","2,118.80","2,270.90","2,039.10","24.64K","-4.74%"
"2026/03/01","2,167.80","2,442.00","2,476.20","2,037.10","22.53K","-8.36%"
"2026/02/22","2,365.60","2,146.40","2,359.80","2,146.40","0.09K","9.03%"
"2026/02/15","2,169.70","2,051.60","2,174.90","1,978.90","0.32K","4.76%"
"2026/02/08","2,071.20","2,122.80","2,193.60","1,989.20","0.94K","-1.02%"
"2026/02/01","2,092.60","2,169.00","2,315.60","1,850.00","1.67K","-1.05%"
"2026/01/25","2,114.80","2,760.00","2,898.00","1,975.00","2.31K","-22.67%"
"2026/01/18","2,734.80","2,347.10","2,765.00","2,347.10","1.14K","17.97%"
"2026/01/11","2,318.30","2,332.30","2,438.40","2,252.70","0.80K","1.12%"
"2026/01/04","2,292.70","2,282.30","2,449.50","2,177.00","0.13K","7.29%"
"2025/12/28","2,137.00","2,131.70","2,283.50","1,927.40","110.73K","-14.21%"
"2025/12/21","2,491.10","2,054.40","2,538.80","2,051.50","166.29K","21.23%"
"2025/12/14","2,054.80","1,789.00","2,060.80","1,766.00","74.52K","14.97%"
"2025/12/07","1,787.30","1,677.80","1,828.00","1,666.70","29.71K","7.64%"
"2025/11/30","1,660.50","1,685.40","1,736.00","1,623.00","147.81K","-1.45%"
"2025/11/23","1,685.00","1,521.00","1,695.90","1,521.00","62.27K","10.55%"
"2025/11/16","1,524.20","1,559.20","1,591.00","1,489.20","128.32K","-2.62%"
"2025/11/09","1,565.20","1,549.10","1,666.40","1,530.30","126.46K","1.04%"
"2025/11/02","1,549.10","1,572.20","1,618.60","1,513.20","99.28K","-1.67%"
"2025/10/26","1,575.40","1,587.20","1,630.00","1,502.90","43.86K","-1.48%"
"2025/10/19","1,599.10","1,633.30","1,660.00","1,497.00","1.25K","-0.89%"
"2025/10/12","1,613.40","1,640.60","1,761.80","1,616.80","1.18K","-0.23%"
"2025/10/05","1,617.10","1,641.00","1,717.10","1,616.60","0.43K","-1.52%"
"2025/09/28","1,642.10","1,612.00","1,655.00","1,552.70","177.88K","2.71%"
"2025/09/21","1,598.80","1,436.70","1,598.80","1,422.60","121.31K","11.66%"
"2025/09/14","1,431.80","1,418.80","1,442.00","1,372.70","51.46K","0.29%"
"2025/09/07","1,427.60","1,396.30","1,437.30","1,376.60","38.52K","1.98%"
"2025/08/31","1,399.90","1,383.00","1,476.70","1,380.00","24.64K","2.15%"
"2025/08/24","1,370.50","1,356.80","1,375.00","1,322.20","45.33K","1.03%"
"2025/08/17","1,356.50","1,341.10","1,376.10","1,297.20","0.67K","1.33%"
"2025/08/10","1,338.70","1,333.60","1,369.60","1,310.80","0.53K","0.44%"
"2025/08/03","1,332.80","1,322.30","1,365.30","1,308.90","0.74K","1.21%"
"2025/07/27","1,316.90","1,431.90","1,457.90","1,271.10","128.78K","-7.05%"
"2025/07/20","1,416.80","1,458.20","1,505.00","1,410.50","0.28K","-2.34%"
"2025/07/13","1,450.80","1,453.50","1,489.20","1,397.00","0.30K","-0.91%"
"2025/07/06","1,464.10","1,398.10","1,469.70","1,360.40","0.32K","5.93%"
"2025/06/29","1,382.10","1,350.10","1,447.90","1,336.30","158.06K","2.23%"
"2025/06/22","1,351.90","1,269.90","1,440.50","1,246.90","150.88K","6.48%"
"2025/06/15","1,269.60","1,215.70","1,347.50","1,215.70","62.37K","4.04%"
"2025/06/08","1,220.30","1,170.00","1,307.10","1,170.00","64.42K","4.23%"
"2025/06/01","1,170.80","1,062.10","1,185.30","1,049.00","38.36K","10.99%"
"2025/05/25","1,054.90","1,096.70","1,096.70","1,050.50","61.61K","-3.10%"
"2025/05/18","1,088.70","991.70","1,102.00","987.10","0.39K","9.88%"
"2025/05/11","990.80","998.20","1,004.90","972.60","0.41K","-0.85%"
"2025/05/04","999.30","962.70","1,001.20","957.50","0.32K","3.44%"
"2025/04/27","966.10","972.00","998.50","959.70","89.04K","-0.38%"
"2025/04/20","969.80","973.90","979.70","953.00","0.17K","-0.34%"
"2025/04/13","973.10","947.80","978.70","947.80","0.18K","3.39%"
"2025/04/06","941.20","896.70","945.00","885.00","0.30K","2.91%"
"2025/03/30","914.60","999.10","1,031.60","910.70","187.32K","-8.18%"
"2025/03/23","996.10","994.30","1,012.00","977.40","93.83K","0.45%"
"2025/03/16","991.60","1,020.50","1,046.70","987.70","50.14K","-3.23%"
"2025/03/09","1,024.70","981.00","1,033.80","969.20","39.04K","6.02%"
"2025/03/02","966.50","947.10","989.20","946.50","156.48K","3.05%"
"2025/02/23","937.90","984.40","989.10","936.70","64.84K","-4.47%"
"2025/02/16","981.80","1,007.10","1,012.00","978.90","0.27K","-3.14%"
"2025/02/09","1,013.60","1,001.00","1,056.30","999.80","0.54K","-0.19%"
"2025/02/02","1,015.50","1,039.40","1,039.40","988.80","0.37K","-2.70%"
"2025/01/26","1,043.70","954.60","1,045.60","945.60","82.51K","8.02%"
"2025/01/19","966.20","956.00","977.20","943.80","0.26K","0.68%"
"2025/01/12","959.70","979.00","979.00","934.30","0.24K","-3.10%"
"2025/01/05","990.40","937.90","995.00","936.10","0.27K","4.44%"
"2024/12/29","948.30","936.50","949.50","907.40","107.89K","1.91%"
"2024/12/22","930.50","940.40","969.80","930.50","50.46K","-1.15%"
"2024/12/15","941.30","941.00","960.70","929.00","67.56K","0.37%"
"2024/12/08","937.80","947.20","975.40","935.00","41.41K","-0.70%"
"2024/12/01","944.40","961.10","974.20","943.00","20.74K","-2.01%"
"2024/11/24","963.80","980.50","985.00","939.00","6.88K","-2.04%"
"2024/11/17","983.90","957.90","991.30","957.90","6.65K","3.13%"
"2024/11/10","954.00","987.00","1,003.10","941.70","4.90K","-3.37%"
"2024/11/03","987.30","1,016.00","1,021.10","981.40","7.11K","-2.44%"
"2024/10/27","1,012.00","1,034.70","1,073.10","1,003.30","42.83K","-2.38%"
"2024/10/20","1,036.70","1,025.50","1,053.40","1,012.60","127.70K","1.19%"
"2024/10/13","1,024.50","991.90","1,027.60","976.90","120.99K","3.03%"
"2024/10/06","994.40","1,001.90","1,006.90","953.00","116.63K","-0.73%"
"2024/09/29","1,001.70","1,015.90","1,025.80","982.10","117.01K","-1.99%"
"2024/09/22","1,022.00","991.40","1,030.60","966.20","96.18K","3.02%"
"2024/09/15","992.00","1,010.00","1,018.10","976.20","51.67K","-2.40%"
"2024/09/08","1,016.40","933.40","1,018.20","933.10","39.66K","9.40%"
"2024/09/01","929.10","941.50","952.00","912.50","18.28K","-1.43%"
"2024/08/25","942.60","980.50","997.00","939.70","8.93K","-3.46%"
"2024/08/18","976.40","973.30","989.80","955.10","6.07K","0.43%"
"2024/08/11","972.20","940.60","979.00","936.70","5.94K","3.40%"
"2024/08/04","940.20","974.90","977.80","922.60","12.04K","-3.90%"
"2024/07/28","978.40","946.30","1,000.60","946.20","25.58K","3.60%"
"2024/07/21","944.40","975.00","983.80","934.70","127.72K","-3.03%"
"2024/07/14","973.90","1,015.50","1,042.20","963.50","152.42K","-3.89%"
"2024/07/07","1,013.30","1,044.70","1,044.70","992.10","114.52K","-3.13%"
"2024/06/30","1,046.00","1,009.80","1,049.80","986.10","106.33K","3.15%"
"2024/06/23","1,014.10","1,007.90","1,031.40","995.80","100.06K","0.60%"
"2024/06/16","1,008.10","975.90","1,017.10","962.30","58.14K","3.83%"
"2024/06/09","970.90","986.20","994.70","959.70","34.93K","-1.37%"
"2024/06/02","984.40","1,055.90","1,066.60","981.20","18.58K","-6.59%"
"2024/05/26","1,053.90","1,052.00","1,087.60","1,038.20","7.58K","0.31%"
"2024/05/19","1,050.60","1,105.50","1,116.40","1,034.70","8.67K","-4.53%"
"2024/05/12","1,100.50","1,018.10","1,110.90","1,010.80","9.55K","8.18%"
"2024/05/05","1,017.30","980.00","1,018.40","968.20","7.16K","4.15%"
"2024/04/28","976.80","938.00","990.60","935.60","5.88K","5.93%"
"2024/04/21","922.10","944.00","946.90","905.50","154.05K","-2.30%"
"2024/04/14","943.80","992.70","998.70","936.50","144.81K","-5.78%"
"2024/04/07","1,001.70","940.50","1,020.50","931.70","200.61K","6.50%"
"2024/03/31","940.60","922.70","958.20","905.00","157.12K","2.12%"
"2024/03/24","921.10","907.90","925.50","900.20","78.99K","1.49%"
"2024/03/17","907.60","950.40","951.40","900.90","75.30K","-4.69%"
"2024/03/10","952.30","926.50","967.00","924.80","31.75K","3.04%"
"2024/03/03","924.20","901.60","940.50","893.40","21.21K","3.01%"
"2024/02/25","897.20","913.70","914.90","879.80","12.55K","-2.28%"
"2024/02/18","918.10","920.80","928.50","896.10","7.82K","-0.35%"
"2024/02/11","921.30","891.10","923.80","883.30","5.57K","3.81%"
"2024/02/04","887.50","910.00","923.10","882.70","7.11K","-2.53%"
"2024/01/28","910.50","921.70","951.20","908.90","29.10K","-1.17%"
"2024/01/21","921.30","909.40","924.90","892.50","100.44K","1.58%"
"2024/01/14","907.00","917.00","926.70","883.20","117.76K","-1.53%"
"2024/01/07","921.10","971.30","976.80","914.00","122.32K","-5.22%"
"2023/12/31","971.80","1,006.60","1,015.10","953.90","89.56K","-3.71%"
"2023/12/24","1,009.20","992.20","1,031.00","987.50","56.47K","1.56%"
"2023/12/17","993.70","955.90","998.40","953.00","63.37K","3.38%"
"2023/12/10","961.20","927.80","981.00","919.70","43.16K","3.66%"
"2023/12/03","927.30","950.00","957.00","897.50","19.75K","-1.73%"
"2023/11/26","943.60","942.40","960.90","925.40","9.22K","-0.02%"
"2023/11/19","943.80","908.50","955.20","905.80","5.64K","3.91%"
"2023/11/12","908.30","855.90","919.80","852.70","4.68K","6.51%"
"2023/11/05","852.80","946.00","948.70","850.40","5.08K","-10.29%"
"2023/10/29","950.60","919.90","957.50","914.50","2.98K","4.95%"
"2023/10/22","905.80","903.70","920.40","885.00","101.35K","0.08%"
"2023/10/15","905.10","888.70","914.70","879.10","95.64K","2.36%"
"2023/10/08","884.20","884.60","902.60","867.90","100.34K","0.31%"
"2023/10/01","881.50","916.20","921.60","856.80","123.60K","-3.76%"
"2023/09/24","915.90","939.90","941.10","894.10","92.38K","-2.56%"
"2023/09/17","940.00","936.70","959.90","923.80","61.10K","0.48%"
"2023/09/10","935.50","903.80","940.00","902.00","35.42K","3.71%"
"2023/09/03","902.00","976.00","979.40","900.60","12.30K","-7.53%"
"2023/08/27","975.50","958.80","1,000.00","949.50","7.83K","2.21%"
"2023/08/20","954.40","921.70","961.40","911.70","4.29K","3.64%"
"2023/08/13","920.90","925.30","925.30","890.00","2.86K","-0.07%"
"2023/08/06","921.50","938.50","941.20","898.50","2.75K","-1.60%"
"2023/07/30","936.50","952.60","973.20","923.30","3.03K","-1.56%"
"2023/07/23","951.30","971.60","986.10","940.20","66.13K","-2.15%"
"2023/07/16","972.20","982.30","1,003.70","960.40","77.36K","-1.23%"
"2023/07/09","984.30","918.40","986.90","909.80","94.05K","7.16%"
"2023/07/02","918.50","910.20","935.50","899.00","74.06K","0.58%"
"2023/06/25","913.20","926.90","943.80","894.20","86.18K","-1.48%"
"2023/06/18","926.90","992.30","993.00","923.50","51.19K","-6.56%"
"2023/06/11","992.00","1,012.50","1,017.60","970.00","24.36K","-2.53%"
"2023/06/04","1,017.80","1,017.30","1,056.30","1,005.70","16.95K","0.78%"
"2023/05/28","1,009.90","1,034.00","1,050.90","1,003.90","8.42K","-0.99%"
"2023/05/21","1,020.00","1,078.00","1,091.50","1,027.50","5.21K","-5.55%"
"2023/05/14","1,079.90","1,062.90","1,089.70","1,059.70","2.20K","0.74%"
"2023/05/07","1,072.00","1,074.20","1,140.20","1,064.00","3.47K","-0.17%"
"2023/04/30","1,073.80","1,094.10","1,108.70","1,049.70","2.99K","-1.99%"
"2023/04/23","1,095.60","1,142.50","1,142.50","1,077.00","65.18K","-3.79%"
"2023/04/16","1,138.70","1,058.50","1,148.90","1,050.20","107.21K","8.04%"
